time,x,y,z,vx,vy,vz,speed,omega_z,air_density,reynolds,cd,mach,Speed,Z_bottom,Clearance,AirDensity,Mu,SpeedOfSound,Re,Cd,Mach,KineticEnergy,PotentialEnergy,TotalEnergy
4.1149999999999345,-0.007809603092615439,-0.1842978542648742,24.009524507478957,-0.0030856848442128966,-0.03719285099811447,-33.87345887150218,33.845069346192865,33.292049279032945,1.220305976231597,461648.6356230421,0.47,0.09945743420076741,33.873479430802,23.809524507478958,23.809524507478958,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,933381.409449097,0.04874197837151818,0.09954092033848955,5737.063043744831,2355.3343541836857,8092.3973979285165
4.119999999999934,-0.00782503721030436,-0.18448370376367448,23.84001533581376,-0.0030868235377843004,-0.03716989976005963,-33.90183433303951,33.873479430802,33.27540741520609,1.220305976231597,462036.150763389,0.47,0.09954092033848955,33.90185485006365,23.64001533581376,23.64001533581376,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,934163.2921865421,0.04872919063800987,0.09962430460830055,5746.678811373921,2338.70550444333,8085.384315817251
4.124999999999934,-0.007840476993222191,-0.18466943848146866,23.670364460101798,-0.00308795658356608,-0.03714694355883577,-33.930175142392486,33.90185485006365,33.258773870231266,1.220305976231597,462423.1930664607,0.47,0.09962430460830055,33.93019561724218,23.4703644601018,23.4703644601018,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,934944.2200882063,0.04871643255306451,0.09970758704917917,5756.290873121601,2322.0627535359868,8078.353626657588
4.129999999999934,-0.007855922413162143,-0.1848550583936918,23.50057205353722,-0.003089083987990499,-0.03712398244462811,-33.95848131291594,33.93019561724218,33.24214863995008,1.220305976231597,462809.76271318394,0.47,0.09970758704917917,33.958501745692104,23.30057205353722,23.30057205353722,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,935724.1935220725,0.048703704032191215,0.09979076770036918,5765.899204060868,2305.4061184520015,8071.30532251287
4.134999999999934,-0.007871373441949638,-0.1850405634760295,23.330638289246945,-0.003090205757498817,-0.0371010164675456,-33.98675285805453,33.958501745692104,33.22553172020623,1.220305976231597,463195.8598857149,0.47,0.09979076770036918,33.986773248857745,23.130638289246946,23.130638289246946,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,936503.2128585979,0.048691004991220865,0.09987384660137813,5775.5037793463625,2288.7356161751254,8064.239395521488
4.139999999999934,-0.007886830051442344,-0.1852259537044176,23.16056334029023,-0.0030913218985412303,-0.037078045677620776,-34.01498979134243,33.986773248857745,33.208923106845475,1.220305976231597,463581.4847674348,0.47,0.09987384660137813,34.015010140272956,22.960563340290232,22.960563340290232,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,937281.2784707071,0.048678335346304426,0.09995682379197675,5785.104574214361,2272.051263682472,8057.155837896833
4.144999999999934,-0.007902292213530228,-0.18541122905504165,22.990347379658218,-0.003092432417576813,-0.037055070124809686,-34.04319212640308,34.015010140272956,33.192322795715675,1.220305976231597,463966.63754294644,0.47,0.09995682379197675,34.04321243356086,22.79034737965822,22.79034737965822,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,938058.390733784,0.04866569501391129,0.10003969931219807,5794.701563982763,2255.3530779444714,8050.054641927234
4.149999999999934,-0.007917759900135596,-0.1855963895043366,22.819990580273473,-0.003093537321073456,-0.03703208985899176,-34.07135987694885,34.04321243356086,33.17573078266675,1.220305976231597,464351.3183980698,0.47,0.10003969931219807,34.071380142433505,22.619990580273473,22.619990580273473,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,938834.5500256633,0.048653083910827725,0.10012247320233644,5804.29472405106,2238.641075924828,8042.935799975889
4.154999999999934,-0.007933233083213136,-0.18578143502898645,22.649493114989568,-0.0030946366155078097,-0.0370091049299697,-34.099493056780766,34.071380142433505,33.15914706355069,1.220305976231597,464735.5275198379,0.47,0.10012247320233644,34.09951328069161,22.44949311498957,22.44949311498957,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,939609.7567266229,0.04864050195415521,0.1002051455029468,5813.884029900318,2221.9152745804768,8035.7993044807945
4.1599999999999335,-0.007948711734749961,-0.1859663656059238,22.478855156590626,-0.003095730307365223,-0.03698611538746938,-34.12759167978822,34.09951328069161,33.14257163422157,1.220305976231597,465119.2650964934,0.47,0.1002051455029468,34.12761186222422,22.278855156590627,22.278855156590627,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,940384.0112193746,0.04862794906130885,0.1002877162548436,5823.469457093137,2205.1756908615407,8028.645147954678
